index,size,class,O[mm],tf[mm],X[mm],A[mm],Y[mm],B[mm],fr[mm],R[mm],W[mm],Jd[mm],Jb[mm],nHoles,weight[kg]
20,1/2 in,150 lbs,90,9.6,30,21.3,46,15.8,2,34.9,60.3,15.8,12.7,4,0.48
21,3/4 in,150 lbs,100,11.2,38,26.7,51,20.9,2,42.9,69.9,15.8,12.7,4,0.71
22,1 in,150 lbs,110,12.7,49,33.4,54,26.6,2,50.8,79.4,15.8,12.7,4,1.01
23,1 1/4 in,150 lbs,115,14.3,59,42.2,56,35.1,2,63.5,88.9,15.8,12.7,4,1.33
24,1 1/2 in,150 lbs,125,15.9,65,48.3,60,40.9,2,73,98.4,15.8,12.7,4,1.72
25,2 in,150 lbs,150,17.5,78,60.3,62,52.5,2,92.1,120.7,19,15.8,4,2.58
26,2 1/2 in,150 lbs,180,20.7,90,73,68,62.7,2,104.8,139.7,19,15.8,4,4.11
27,3 in,150 lbs,190,22.3,108,88.9,68,77.9,2,127,152.4,19,15.8,4,4.92
28,3 1/2 in,150 lbs,215,22.3,122,101.6,70,90.1,2,139.7,177.8,19,15.8,8,5
29,4 in,150 lbs,230,22.3,135,114.3,75,102.3,2,157.2,190.5,19,15.8,8,6.84
30,5 in,150 lbs,255,22.3,164,141.3,87,128.2,2,185.7,215.9,22.2,19,8,9.2
31,6 in,150 lbs,280,23.9,192,168.3,87,154.1,2,215.9,241.3,22.2,19,8,10.6
32,8 in,150 lbs,345,27,246,219.1,100,202.7,2,269.9,298.5,22.2,19,8,17.6
33,10 in,150 lbs,405,28.6,305,273,100,254.6,2,323.8,362,25.4,22.2,12,24
34,12 in,150 lbs,485,30.2,365,323.8,113,304.8,2,381,431.8,25.4,22.2,12,36.5
35,14 in,150 lbs,535,33.4,400,355.6,125,336.5,2,412,476.3,28.5,25.4,12,51
36,16 in,150 lbs,595,35,457,406.4,125,387.3,2,469.9,539.8,28.5,25.4,16,60
37,18 in,150 lbs,635,38.1,505,457,138,438.1,2,533.4,577.9,31.7,28.5,16,68.3
38,20 in,150 lbs,700,41.3,559,508,143,488.9,2,584.2,635,31.7,28.5,20,84.5
39,24 in,150 lbs,815,46.1,663,610,151,590.5,2,692.2,749.3,34.9,31.7,20,115
